hh,campaign_id,status,budget,spent,impressions,clicks,views,checkout,purchase,rev
00,120246870229730642,ACTIVE,100,1.53,28,1,0,0,0,0
00,120247392329370509,ACTIVE,200,1.5,54,0,1,0,0,0
00,120245990795590533,ACTIVE,100,1.5,57,1,1,0,0,0
00,120249347498540100,ACTIVE,136,1.5,28,0,1,0,0,0
00,120246338028120241,ACTIVE,630,1.5,71,0,0,0,0,0
00,120246330272670320,ACTIVE,109,1.5,29,0,0,0,0,0
00,120249975165650653,ACTIVE,80,1.49,39,1,1,0,0,0
00,120248490741000152,ACTIVE,200,1.48,47,1,0,0,0,0
00,120246710213420090,ACTIVE,225,1.43,28,2,0,0,0,0
00,120246104095060650,ACTIVE,126,1.43,9,1,1,0,0,0
00,120248508683620431,ACTIVE,370,1.43,42,4,5,0,0,0
00,120248615909580019,ACTIVE,450,1.4,18,0,1,1,0,0
00,120246410881630707,ACTIVE,82,1.39,33,1,1,0,0,0
00,120257359768220586,ACTIVE,100,1.38,34,0,2,0,0,0
00,120246023777450751,ACTIVE,1300,1.38,45,1,2,1,1,38.27
00,120244070206100125,ACTIVE,150,1.37,49,0,0,0,0,0
00,120247059710630214,ACTIVE,120,1.37,18,1,1,0,0,0
00,120250558406210368,ACTIVE,86,1.37,51,0,1,0,0,0
00,120240849899190788,ACTIVE,10,1.36,7,0,0,0,0,0
00,120245241360310455,ACTIVE,100,1.36,51,0,0,0,0,0
00,120248455821250455,ACTIVE,135,1.36,43,1,1,0,0,0
00,120250558361040368,ACTIVE,50,1.36,19,0,1,0,0,0
00,120247389356380455,ACTIVE,100,1.34,11,1,0,0,0,0
00,120245487786040032,ACTIVE,127,1.33,29,1,1,0,0,0
00,120245283264760677,ACTIVE,115,1.33,73,3,2,1,1,70.02
00,120248089909210065,ACTIVE,92,1.32,15,1,1,0,0,0
00,120244783755130320,ACTIVE,450,1.32,57,1,1,0,0,0
00,120248823290310722,ACTIVE,80,1.31,10,1,1,0,0,0
00,120245404387150125,ACTIVE,80,1.31,17,1,2,0,0,0
00,120246702062450674,ACTIVE,150,1.3,29,0,0,0,0,0
00,120249005372660589,ACTIVE,178,1.29,16,0,0,0,0,0
00,120246946458510629,ACTIVE,170,1.28,22,1,2,0,0,0
00,120242884733810358,ACTIVE,100,1.27,21,2,2,0,0,0
00,6973002165426,ACTIVE,50,1.27,12,0,0,0,0,0
00,120247868045210695,ACTIVE,300,1.25,32,1,2,0,0,0
00,120248536187780100,ACTIVE,500,1.25,34,3,3,1,1,38.17
00,120244171016080129,ACTIVE,120,1.24,49,1,2,0,0,0
00,120248893532100100,ACTIVE,500,1.24,29,1,2,0,0,0
00,120241066464020065,ACTIVE,289,1.24,47,2,2,0,0,0
00,120248645284270152,ACTIVE,200,1.22,55,1,1,1,0,0
